region	site	plate	face	plate_name
AZT	G	C	T	CT
AZT	G	C	T	CT
AZT	H	C	T	CT
AZT	H	C	T	CT
AZT	I	C	T	CT
AZT	I	C	T	CT
AZT	I	C	T	CT
CNR	J	C	T	CT
CNR	J	C	T	CT
CNR	J	C	T	CT
CNR	K	C	T	CT
CNR	K	C	T	CT
CNR	K	C	T	CT
CNR	L	C	T	CT
CNR	L	C	T	CT
CNR	L	C	T	CT
CON	D	C	T	CT
CON	D	C	T	CT
CON	E	C	T	CT
CON	E	C	T	CT
CON	E	C	T	CT
CON	F	C	T	CT
CON	F	C	T	CT
CON	F	C	T	CT
KAU	A	C	T	CT
KAU	A	C	T	CT
KAU	A	C	T	CT
KAU	B	C	T	CT
KAU	B	C	T	CT
KAU	B	C	T	CT
KAU	C	C	T	CT
KAU	C	C	T	CT
KAU	C	C	T	CT
