region	site	plate	face	plate_name
KAU	A	C	B	CB
KAU	A	C	B	CB
KAU	A	C	B	CB
KAU	B	C	B	CB
KAU	B	C	B	CB
KAU	B	C	B	CB
KAU	C	C	B	CB
KAU	C	C	B	CB
KAU	C	C	B	CB
CON	D	C	B	CB
CON	D	C	B	CB
CON	E	C	B	CB
CON	E	C	B	CB
CON	E	C	B	CB
CON	F	C	B	CB
CON	F	C	B	CB
CON	F	C	B	CB
AZT	G	C	B	CB
AZT	G	C	B	CB
AZT	G	C	B	CB
AZT	H	C	B	CB
AZT	H	C	B	CB
AZT	H	C	B	CB
AZT	I	C	B	CB
AZT	I	C	B	CB
AZT	I	C	B	CB
CNR	J	C	B	CB
CNR	J	C	B	CB
CNR	J	C	B	CB
CNR	K	C	B	CB
CNR	K	C	B	CB
CNR	K	C	B	CB
CNR	L	C	B	CB
CNR	L	C	B	CB
CNR	L	C	B	CB
