region	site	plate	face	plate_name
AZT	G	A	B	AB
AZT	G	A	B	AB
AZT	G	A	B	AB
AZT	H	A	B	AB
AZT	H	A	B	AB
AZT	H	A	B	AB
AZT	I	A	B	AB
AZT	I	A	B	AB
AZT	I	A	B	AB
CNR	J	A	B	AB
CNR	J	A	B	AB
CNR	J	A	B	AB
CNR	K	A	B	AB
CNR	K	A	B	AB
CNR	K	A	B	AB
CNR	L	A	B	AB
CNR	L	A	B	AB
CNR	L	A	B	AB
CON	D	A	B	AB
CON	D	A	B	AB
CON	E	A	B	AB
CON	E	A	B	AB
CON	E	A	B	AB
CON	F	A	B	AB
CON	F	A	B	AB
CON	F	A	B	AB
KAU	A	A	B	AB
KAU	A	A	B	AB
KAU	A	A	B	AB
KAU	B	A	B	AB
KAU	B	A	B	AB
KAU	B	A	B	AB
KAU	C	A	B	AB
KAU	C	A	B	AB
KAU	C	A	B	AB
